Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Action Type,InChI,Potency,Molecular Weight_standardized,AlogP_standardized,Standard Value_standardized,pChEMBL Value_standardized,Ligand Efficiency LE_standardized,Ligand Efficiency LLE_standardized,Ligand Efficiency SEI_standardized,HOMO,LUMO,Electronegativity,Hardness
CHEMBL3235962,421.42,1.0,5.76,22,N#Cc1cccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)c1,IC50,83.0,nM,7.08,,16.8,0.31,1.32,12.62,,"InChI=1S/C24H18F3N3O/c25-24(26,27)19-10-8-18(9-11-19)22-21-7-2-1-5-17(21)12-13-30(22)23(31)29-20-6-3-4-16(14-20)15-28/h1-11,14,22H,12-13H2,(H,29,31)/t22-/m1/s1",High Potency,-0.3093209708854439,0.7673584975358991,-0.3640792327674265,0.1017887085138329,-0.0481442321699418,-0.5658260020268112,0.681187915789587,-0.5643572449455087,0.3850101606365276,0.23901309161356732,0.9885713458076708
CHEMBL3235983,434.36,1.0,5.45,44,C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,IC50,10.0,nM,8.0,,18.42,0.36,2.55,24.74,,"InChI=1S/C20H17F7N2O/c1-11(19(22,23)24)28-18(30)29-9-8-12-4-2-3-5-14(12)17(29)13-6-7-15(16(21)10-13)20(25,26)27/h2-7,10-11,17H,8-9H2,1H3,(H,28,30)/t11-,17+/m0/s1",High Potency,-0.1726288318402804,0.5324514162554317,-0.3685718553329733,0.8996390654072505,0.703021799879149,0.5252410608972319,3.8590727415312265,-0.5773883752733435,0.46227307914395066,0.21676388564719093,1.0611507774346578
CHEMBL1650511,467.41,1.0,7.09,5,FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,IC50,0.413,nM,9.38,,20.08,0.39,2.29,18.67,,"InChI=1S/C23H19F6N3O/c24-22(25,26)15-7-3-2-6-14(15)13-10-16(23(27,28)29)19-17(11-13)30-20(31-19)18-12-21(33-32-18)8-4-1-5-9-21/h2-3,6-7,10-11H,1,4-5,8-9,12H2,(H,30,31)",High Potency,0.1764959900640981,1.7751856527069385,-0.3691618659156568,2.096414600747378,1.153721419108604,0.294608998815727,2.267508311477452,-0.21659395092047662,-0.02457639530643798,0.16172195446164161,0.2539962479721461
CHEMBL2443068,438.83,1.0,5.39,9b,O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(Cl)cccc21,IC50,230.4,nM,6.64,,15.13,0.3,1.25,11.32,,"InChI=1S/C21H18ClF3N2O3/c22-16-3-1-2-15-17(28)12-20(30-18(15)16)8-10-27(11-9-20)19(29)26-14-6-4-13(5-7-14)21(23,24)25/h1-7H,8-12H2,(H,26,29)",High Potency,-0.1254098317218973,0.4869855295559859,-0.3550078277515143,-0.2797918969569324,-0.1983774385797602,-0.6279192495102934,0.3403256820054181,-0.5973547850854704,-0.6098576557178677,0.6661726425363744,0.30605373868282604
CHEMBL3959823,358.44,0.0,3.86,9n,Cc1cccc(CN(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,IC50,870.0,nM,6.06,,16.91,0.31,2.2,9.56,,"InChI=1S/C23H22N2O2/c1-17-9-8-10-18(15-17)16-25(23(27)20-13-6-3-7-14-20)21(22(24)26)19-11-4-2-5-12-19/h2-15,21H,16H2,1H3,(H2,24,26)/t21-/m1/s1",High Potency,-0.9746123864236514,-0.6723945812798713,-0.3156450689443399,-0.7827845132593044,-0.0481442321699418,0.2147748234798215,-0.1211493421946879,-0.12891363075451015,0.49102688281873463,-0.10910506995731044,0.519125675360323
CHEMBL3944840,408.89,0.0,4.48,20m,C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1,IC50,100.0,nM,7.0,,17.12,0.33,2.52,8.37,,"InChI=1S/C23H21ClN2O3/c1-15(17-10-7-11-18(24)14-17)26(23(29)19-12-5-6-13-20(19)27)21(22(25)28)16-8-3-2-4-9-16/h2-15,21,27H,1H3,(H2,25,28)/t15-,21-/m1/s1",High Potency,-0.4416820607027472,-0.2025804187189352,-0.363033005594628,0.0324104166100573,0.2523221806496948,0.4986296691185968,-0.4331693869663509,-0.1056694519642164,0.4515507374858478,-0.10935710627410734,0.4612226929216435
CHEMBL4644158,323.37,0.0,2.64,9,O=C(NCc1ccc(F)cc1)[C@@H]1Cc2c([nH]c3ccccc23)CN1,IC50,36.85,nM,7.43,,22.99,0.42,4.79,13.06,,"InChI=1S/C19H18FN3O/c20-13-7-5-12(6-8-13)10-22-19(24)17-9-15-14-3-1-2-4-16(14)23-18(15)11-21-17/h1-8,17,21,23H,9-11H2,(H,22,24)/t17-/m0/s1",High Potency,-1.3450755484262702,-1.5968676108352606,-0.3669194318277002,0.4053187355928502,1.6044210383380584,2.5122249803686607,0.7965566718396139,0.3501203135668672,1.869071886273308,-1.004366071265279,0.9205830085421562
CHEMBL4649088,345.4,0.0,2.16,23,O=C1N[C@H](Cc2ccccc2)C(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]12,IC50,6.57,nM,8.18,,23.69,0.43,6.02,12.55,,"InChI=1S/C21H19N3O2/c25-20-19-11-15-14-8-4-5-9-16(14)22-18(15)12-24(19)21(26)17(23-20)10-13-6-2-1-3-7-13/h1-9,17,19,22H,10-12H2,(H,23,25)/t17-,19+/m1/s1",High Potency,-1.1123608789390251,-1.960594704430824,-0.3687829470507792,1.055740222190745,1.7546542447478766,3.603292043292704,0.6628337955089014,0.23250037188081463,1.4472460014280062,-0.750649512353514,0.76127454299381
CHEMBL2443089,459.3,1.0,6.4,8j,O=C(Nc1ccc(C(F)(F)F)cc1Cl)N1CCC2(CCc3cccc(Cl)c3O2)CC1,IC50,177.8,nM,6.75,,14.7,0.31,0.35,16.24,,"InChI=1S/C21H19Cl2F3N2O2/c22-15-3-1-2-13-6-7-20(30-18(13)15)8-10-28(11-9-20)19(29)27-17-5-4-14(12-16(17)23)21(24,25)26/h1-5,12H,6-11H2,(H,27,29)",High Potency,0.0908257236300734,1.2523279556633171,-0.3582449777097027,-0.1843967455892408,-0.0481442321699418,-1.4262610028693494,1.6303581360193504,-0.39874996596324364,0.5859764935146039,0.041374613189752725,0.9269302592167598
CHEMBL3985375,420.49,0.0,2.85,BDBM191670,Cc1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1,IC50,10000.0,nM,,,,,,,,"InChI=1S/C22H20N4O3S/c1-13-7-9-14(10-8-13)16-12-30-21(23-16)24-18(27)11-15-5-4-6-17-19(15)20(28)26(3)22(29)25(17)2/h4-10,12H,11H2,1-3H3,(H,23,24,27)",Medium Potency,-0.3191450581583963,-1.4377370073872018,0.2462404656233607,,,,,0.2151721663681879,-0.12383562885524249,-0.100451823080516,-0.360206878571888
CHEMBL3897802,492.45,0.0,3.7,BDBM191682,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4)cs3)cccc2n(C)c1=O,IC50,10000.0,nM,,,,,,,,"InChI=1S/C22H16F4N4O3S/c1-29-16-5-3-4-12(18(16)19(32)30(2)21(29)33)9-17(31)28-20-27-15(10-34-20)11-6-7-14(23)13(8-11)22(24,25)26/h3-8,10H,9H2,1-2H3,(H,27,28,31)",Medium Potency,0.4410068990046615,-0.7936369458117254,0.2462404656233607,,,,,-0.1485002990386788,-0.3634506594784422,0.25164291148875817,-0.07806782289366687
CHEMBL3897467,508.91,1.0,4.21,BDBM191646,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(Cl)c(C(F)(F)F)c4)cs3)cccc2n(C)c1=O,IC50,10000.0,nM,,,,,,,,"InChI=1S/C22H16ClF3N4O3S/c1-29-16-5-3-4-12(18(16)19(32)30(2)21(29)33)9-17(31)28-20-27-15(10-34-20)11-6-7-14(23)13(8-11)22(24,25)26/h3-8,10H,9H2,1-2H3,(H,27,28,31)",Medium Potency,0.6148826802012147,-0.4071769088664398,0.2462404656233607,,,,,-0.15577534725851286,-0.2695353582672772,0.21859814995278912,-0.0005962415372425024
CHEMBL3936454,496.44,0.0,3.6,BDBM191720,Cc1oc2c(c1CC(=O)Nc1nc(-c3ccc(F)c(C(F)(F)F)c3)cs1)c(=O)n(C)c(=O)n2C,IC50,10000.0,nM,,,,,,,,"InChI=1S/C21H16F4N4O4S/c1-9-11(16-17(31)28(2)20(32)29(3)18(16)33-9)7-15(30)27-19-26-14(8-34-19)10-4-5-13(22)12(6-10)21(23,24)25/h4-6,8H,7H2,1-3H3,(H,26,27,30)",Medium Potency,0.4831554024660374,-0.8694134236441344,0.2462404656233607,,,,,-0.01205317212437455,0.5150228628638779,-0.20072027111402282,0.38989765866118437
CHEMBL391997,376.91,0.0,3.62,2,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,IC50,18000.0,nM,4.75,,12.59,0.26,1.12,8.51,,"InChI=1S/C19H21ClN2O2S/c20-16-5-3-13(4-6-16)7-8-21-19(25)22-9-1-2-14-10-17(23)18(24)11-15(14)12-22/h3-6,10-11,23-24H,1-2,7-9,12H2,(H,21,25)",Low Potency,-0.779503900475879,-0.8542581280776527,0.7385826645873921,-1.9188540431836272,-0.7993102642190327,-0.7432352805510458,-0.3964611464049786,0.3596738109544515,0.6195225978018517,-0.5035839118017427,-0.0006715053792339225
CHEMBL3979456,511.43,1.0,3.23,BDBM191733,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4F)cs3)ccnc2n(C)c1=O,IC50,10000.0,nM,,,,,,,,"InChI=1S/C21H14F5N5O3S/c1-30-17-14(18(33)31(2)20(30)34)9(5-6-27-17)7-13(32)29-19-28-12(8-35-19)10-3-4-11(22)15(16(10)23)21(24,25)26/h3-6,8H,7H2,1-2H3,(H,28,29,32)",Medium Potency,0.6415027876505045,-1.1497863916240478,0.2462404656233607,,,,,-0.2278862647781862,-0.6391286141350034,0.41921905812540355,-0.17902172295139063
CHEMBL3682545,572.61,2.0,6.45,BDBM151632,CCOC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)F,IC50,4.7,nM,8.33,,14.54,0.28,1.88,8.6,,"InChI=1S/C29H27F3N2O5S/c1-4-39-28(3,29(30,31)32)23-13-9-20(10-14-23)18-34(26-19(2)25-8-6-5-7-22(25)17-33-26)40(37,38)24-15-11-21(12-16-24)27(35)36/h5-17H,4,18H2,1-3H3,(H,35,36)",High Potency,1.2877798407249332,1.2902161945795214,-0.368898032039787,1.1858245195103243,-0.4988438513993961,-0.0690800221589542,-0.3728629917583824,-0.4105819125185777,-1.0340279753951658,0.7075906105971363,-0.23705014512671765
CHEMBL3682546,516.5,2.0,5.54,BDBM151633,Cc1cc2ccccc2nc1N(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(C(=O)O)cc1,IC50,5.0,nM,8.3,,16.07,0.31,2.76,8.58,,"InChI=1S/C25H19F3N2O5S/c1-16-14-19-4-2-3-5-22(19)29-23(16)30(15-17-6-10-20(11-7-17)35-25(26,27)28)36(33,34)21-12-8-18(9-13-21)24(31)32/h2-14H,15H2,1H3,(H,31,32)",High Potency,0.6950599085901473,0.6006502463045996,-0.3688795692073258,1.1598076600464091,-0.0481442321699418,0.7115208033476783,-0.3781070261242925,-0.3856988492392005,-1.1888296282725996,0.7530271577090942,-0.3809295230668381
CHEMBL3682562,488.57,1.0,5.18,BDBM151649,Cc1c(N(Cc2ccc(OC3CC3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,IC50,35.0,nM,7.46,,15.26,0.29,2.28,7.7,,"InChI=1S/C27H24N2O5S/c1-18-25-5-3-2-4-21(25)16-28-26(18)29(17-19-6-10-22(11-7-19)34-23-12-13-23)35(32,33)24-14-8-20(9-15-24)27(30)31/h2-11,14-16,23H,12-13,17H2,1H3,(H,30,31)",High Potency,0.4000203843605167,0.327854926107927,-0.3670332859612107,0.4313355950567661,-0.3486106449895785,0.285738534889515,-0.6088445382243456,-0.060839965268920694,-0.923149998634848,0.417538816013405,-0.5953812968475097
CHEMBL3682573,509.59,2.0,5.7,BDBM151660,Cc1c(N(Cc2ccc(-c3ccccc3)nc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,IC50,95.0,nM,7.02,,13.78,0.26,1.32,6.99,,"InChI=1S/C29H23N3O4S/c1-20-26-10-6-5-9-24(26)18-31-28(20)32(37(35,36)25-14-12-23(13-15-25)29(33)34)19-21-11-16-27(30-17-21)22-7-3-2-4-8-22/h2-18H,19H2,1H3,(H,33,34)",High Potency,0.6220658837986417,0.7218926108364541,-0.3633407194689805,0.0497549895860008,-0.7993102642190327,-0.5658260020268112,-0.795007758214161,-0.22115084925597717,-1.041819773513273,0.5780439437620565,-0.4805035860213872
CHEMBL3682589,542.54,2.0,6.1,BDBM151677,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1,IC50,0.9,nM,9.05,,16.67,0.33,2.95,9.34,,"InChI=1S/C27H21F3N2O5S/c28-27(29,30)37-21-11-5-17(6-12-21)16-32(38(35,36)22-13-9-19(10-14-22)26(33)34)25-24(18-7-8-18)23-4-2-1-3-20(23)15-31-25/h1-6,9-15,18H,7-8,16H2,(H,33,34)",High Potency,0.97013435223281,1.0249985221660896,-0.3691318945842949,1.810229146644304,0.2523221806496948,0.8800596179457015,-0.1788337202197013,-0.263781832368356,-0.8568162836824684,0.5327754208612955,-0.29236906899035564
